ward_id,water_proximity,drainage_congestion,impervious_surface,elevation_proxy,rainfall_sensor_mm,citizen_flood_pressure,target_risk,lat,lon
1,1.0,0.38919,1.0,0.6901,20.9089,0.26103,0.632821,23.863556,90.392981
1,1.0,0.34993,1.0,0.75246,27.6442,0.19796,0.552603,23.860405,90.40365
1,1.0,0.40976,0.29812,0.682,18.6424,0.2703,0.427451,23.853645,90.407739
1,1.0,0.46123,0.32589,0.61783,45.9473,0.20047,0.529291,23.85541,90.408065
1,1.0,0.52243,0.437,0.69445,43.1498,0.04043,0.522141,23.853091,90.410231
1,1.0,0.42702,0.82589,0.65346,42.3753,0.10923,0.559231,23.854604,90.421781
1,1.0,0.38258,0.60367,0.69635,16.2958,0.39561,0.538914,23.854976,90.426394
1,1.0,0.37706,1.0,0.71888,39.9397,0.27687,0.560972,23.857952,90.421339
1,1.0,0.41874,1.0,0.67314,44.6819,0.38697,0.671197,23.858065,90.418852
1,1.0,0.41772,0.90923,0.71323,31.6434,0.37335,0.571181,23.857032,90.405061
1,1.0,0.34052,0.57589,0.75472,53.2384,0.15003,0.623628,23.854498,90.403651
1,1.0,0.47027,1.0,0.75076,36.2945,0.25749,0.578978,23.864224,90.422022
1,1.0,0.49856,0.46478,0.72053,32.9978,0.20763,0.371502,23.85725,90.427961
1,1.0,0.44853,0.32589,0.71889,39.8652,0.4128,0.549681,23.856416,90.428219
1,1.0,0.41377,0.85367,0.74129,36.7604,0.3806,0.574433,23.869807,90.408921
1,1.0,0.46059,0.74256,0.75435,31.808,0.26897,0.631227,23.870589,90.407174
1,1.0,0.37167,0.65923,0.73336,51.4416,0.53535,0.551202,23.866203,90.41415
1,1.0,0.44237,1.0,0.75101,29.2871,0.38907,0.641539,23.866866,90.415574
1,1.0,0.46138,0.82589,0.79275,32.7526,0.50277,0.524691,23.867579,90.413754
1,1.0,0.54111,0.88145,0.65107,41.7425,0.46082,0.737922,23.867587,90.414314
1,1.0,0.35996,0.32589,0.70378,25.3793,0.34033,0.411225,23.873521,90.412197
1,1.0,0.32257,0.02034,0.71047,40.2776,0.29636,0.342289,23.871257,90.425367
1,1.0,0.40117,0.02034,0.65104,45.1468,0.17611,0.448194,23.869914,90.425209
1,1.0,0.45175,0.02034,0.72136,22.6441,0.30135,0.419793,23.873256,90.426396
1,1.0,0.4718,0.02034,0.67956,12.5015,0.31171,0.290638,23.871268,90.42236
1,1.0,0.32619,0.02034,0.66202,36.4347,0.46826,0.418201,23.871076,90.421301
1,1.0,0.46966,0.07589,0.69619,38.4043,0.45893,0.569046,23.870785,90.420146
